,PASO,FRECUENCIA
5,HOME INVERSION,1278
4,DATOS PERSONALES,92
3,DATOS ADICIONALES PLD,16
2,VERIFICACION CELULAR,8
1,VERIFICACION DE INE,6
0,BENEFICIOS DE SER SOCIO,3
